Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
2563,BJU NDLS HUMSFAR,BARAUNI JN,BJU,97.0,ECR,85.988748,25.461768
2563,BJU NDLS HUMSFAR,MUZAFFARPUR JN,MFP,191.0,ECR,85.378006,26.122311
2563,BJU NDLS HUMSFAR,CHHAPRA,CPR,210.0,ECR,84.725004,25.78832
2563,BJU NDLS HUMSFAR,SIWAN JN,SV,221.0,ECR,84.359267,26.210724
2563,BJU NDLS HUMSFAR,DEORIA SADAR,DEOS,254.0,ECR,83.7819590961,26.5076811676
2563,BJU NDLS HUMSFAR,GORAKHPUR JN,GKP,307.0,ECR,83.381499,26.759311
2563,BJU NDLS HUMSFAR,BASTI,BST,329.0,ECR,82.77005900000000,26.815678
2563,BJU NDLS HUMSFAR,AISHBAGH,ASH,396.0,ECR,80.90960679930000,26.8373880081
2563,BJU NDLS HUMSFAR,KANPUR CENTRAL,CNB,440.0,ECR,80.350966,26.45424
2563,BJU NDLS HUMSFAR,NEW DELHI,NDLS,470.0,ECR,77.22000400000000,28.642314
2564,BJU HUMSAFAR,NEW DELHI,NDLS,55.0,ECR,77.22000400000000,28.642314
2564,BJU HUMSAFAR,KANPUR CENTRAL,CNB,122.0,ECR,80.350966,26.45424
2564,BJU HUMSAFAR,AISHBAGH,ASH,145.0,ECR,80.90960679930000,26.8373880081
2564,BJU HUMSAFAR,BASTI,BST,214.0,ECR,82.77005900000000,26.815678
2564,BJU HUMSAFAR,GORAKHPUR JN,GKP,205.0,ECR,83.381499,26.759311
2564,BJU HUMSAFAR,DEORIA SADAR,DEOS,210.0,ECR,83.7819590961,26.5076811676
2564,BJU HUMSAFAR,SIWAN JN,SV,214.0,ECR,84.359267,26.210724
2564,BJU HUMSAFAR,CHHAPRA,CPR,243.0,ECR,84.725004,25.78832
2564,BJU HUMSAFAR,MUZAFFARPUR JN,MFP,302.0,ECR,85.378006,26.122311
2564,BJU HUMSAFAR,BARAUNI JN,BJU,386.0,ECR,85.988748,25.461768
2569,DBG NDLS HMSAFAR,DARBHANGA JN,DBG,33.0,ECR,85.907575,26.157088
2569,DBG NDLS HMSAFAR,SAMASTIPUR JN,SPJ,55.0,ECR,85.78736,25.858304
2569,DBG NDLS HMSAFAR,MUZAFFARPUR JN,MFP,79.0,ECR,85.378006,26.122311
2569,DBG NDLS HMSAFAR,CHHAPRA,CPR,121.0,ECR,84.725004,25.78832
2569,DBG NDLS HMSAFAR,SIWAN JN,SV,140.0,ECR,84.359267,26.210724
2569,DBG NDLS HMSAFAR,DEORIA SADAR,DEOS,168.0,ECR,83.7819590961,26.5076811676
2569,DBG NDLS HMSAFAR,GORAKHPUR JN,GKP,228.0,ECR,83.381499,26.759311
2569,DBG NDLS HMSAFAR,BASTI,BST,252.0,ECR,82.77005900000000,26.815678
2569,DBG NDLS HMSAFAR,AISHBAGH,ASH,310.0,ECR,80.90960679930000,26.8373880081
2569,DBG NDLS HMSAFAR,KANPUR CENTRAL,CNB,368.0,ECR,80.350966,26.45424
2569,DBG NDLS HMSAFAR,NEW DELHI,NDLS,441.0,ECR,77.22000400000000,28.642314
2570,DBG HUMSAFAR,NEW DELHI,NDLS,183.0,ECR,77.22000400000000,28.642314
2570,DBG HUMSAFAR,KANPUR CENTRAL,CNB,228.0,ECR,80.350966,26.45424
2570,DBG HUMSAFAR,AISHBAGH,ASH,257.0,ECR,80.90960679930000,26.8373880081
2570,DBG HUMSAFAR,BASTI,BST,338.0,ECR,82.77005900000000,26.815678
2570,DBG HUMSAFAR,GORAKHPUR JN,GKP,335.0,ECR,83.381499,26.759311
2570,DBG HUMSAFAR,DEORIA SADAR,DEOS,343.0,ECR,83.7819590961,26.5076811676
2570,DBG HUMSAFAR,SIWAN JN,SV,364.0,ECR,84.359267,26.210724
2570,DBG HUMSAFAR,CHHAPRA,CPR,334.0,ECR,84.725004,25.78832
2570,DBG HUMSAFAR,MUZAFFARPUR JN,MFP,380.0,ECR,85.378006,26.122311
2570,DBG HUMSAFAR,SAMASTIPUR JN,SPJ,405.0,ECR,85.78736,25.858304
2570,DBG HUMSAFAR,DARBHANGA JN,DBG,409.0,ECR,85.907575,26.157088
2595,GKP FESTIVAL SPL,,nan,,,,
2596,HMSFR FEST SPL,,nan,,,,
2751,JAT HUMSAFAR SPL,,nan,,,,
2752,NED HUMSAFAR SPL,,nan,,,,
4651,PNBE FZR HUMSAFAR,JAYNAGAR,JYG,52.0,NR,86.134871,26.589465
4651,PNBE FZR HUMSAFAR,DARBHANGA JN,DBG,82.0,NR,85.907575,26.157088
4651,PNBE FZR HUMSAFAR,SAMASTIPUR JN,SPJ,109.0,NR,85.78736,25.858304
4651,PNBE FZR HUMSAFAR,MUZAFFARPUR JN,MFP,128.0,NR,85.378006,26.122311
4651,PNBE FZR HUMSAFAR,CHHAPRA,CPR,142.0,NR,84.725004,25.78832
4651,PNBE FZR HUMSAFAR,SHAHGANJ JN,SHG,131.0,NR,82.679662,26.061399
4651,PNBE FZR HUMSAFAR,LUCKNOW NR,LKO,150.0,NR,80.925291,26.830675
4651,PNBE FZR HUMSAFAR,MORADABAD,MB,208.0,NR,78.765801,28.831621
4651,PNBE FZR HUMSAFAR,DELHI,DLI,288.0,NR,77.228356,28.661816
