Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
2003,NDLS SWARNA SHATABDI,,nan,,,,
2004,LJN SWARNA SHATABDI,,nan,,,,
2005,KALKA SHTBDI SPL,,nan,,,,
2006,KALKA SHTBDI SPL,,nan,,,,
2011,NDLS KLK SHATABDI,,nan,,,,
2012,KLK SHTBDI SPL,,nan,,,,
2013,ASR SHTBDI SPL,,nan,,,,
2014,NDLS SHATABDI SPL,,nan,,,,
2033,CNB NDLS SHT SPL,,nan,,,,
2034,NDLS CNB SHT SPL,,nan,,,,
2039,NDLS SHATABDI SPL,,nan,,,,
2040,KGM SHATABDI SPL,NAGPUR,NGP,2.0,NR,79.089004,21.153567
2040,KGM SHATABDI SPL,AJNI,AJNI,0.0,NR,79.0825197485,21.1268588122
2040,KGM SHATABDI SPL,WARDHA JN,WR,72.0,NR,78.594157,20.732777
2040,KGM SHATABDI SPL,PULGAON JN,PLO,81.0,NR,78.318111,20.726734
2040,KGM SHATABDI SPL,DHAMANGAON,DMN,82.0,NR,78.138054,20.784674
2040,KGM SHATABDI SPL,BADNERA JN,BD,73.0,NR,77.73231970000000,20.8567925
2040,KGM SHATABDI SPL,AKOLA JN,AK,77.0,NR,77.005497,20.723084
2040,KGM SHATABDI SPL,SHEGAON,SEG,85.0,NR,76.690331,20.801724
2040,KGM SHATABDI SPL,MALKAPUR,MKU,85.0,NR,76.202946,20.891974
2040,KGM SHATABDI SPL,BHUSAVAL JN,BSL,67.0,NR,75.78867170000000,21.0472812
2040,KGM SHATABDI SPL,NASIK ROAD,NK,111.0,NR,73.841897,19.947627
2040,KGM SHATABDI SPL,IGATPURI,IGP,160.0,NR,73.56237900000000,19.694053
2040,KGM SHATABDI SPL,KALYAN JN,KYN,330.0,NR,73.12974,19.234716
2040,KGM SHATABDI SPL,DADAR,DR,0.0,NR,72.842972,19.017179
2040,KGM SHATABDI SPL,C SHIVAJI TERM MUMBAI,CSMT,0.0,NR,,
12001,NDLS SHATABDI,RANI KAMLAPATI,RKMP,31.0,NR,77.4401,23.2216
12001,NDLS SHATABDI,BHOPAL JN,BPL,33.0,NR,77.4131428577,23.2668843843
12001,NDLS SHATABDI,BINA JN,BINA,32.0,NR,78.1831998,24.1709735
12001,NDLS SHATABDI,LALITPUR,LAR,46.0,NR,78.395791,24.688222
12001,NDLS SHATABDI,V LAKSHMIBAI JHANSI,VGLJ,42.0,NR,78.5533,25.4439
12001,NDLS SHATABDI,GWALIOR,GWL,52.0,NR,78.18229200000000,26.216483
12001,NDLS SHATABDI,MORENA,MRA,57.0,NR,78.003442,26.500504
12001,NDLS SHATABDI,DHAULPUR,DHO,46.0,NR,77.90604900000000,26.697592
12001,NDLS SHATABDI,AGRA CANTT,AGC,47.0,NR,77.990153,27.157992
12001,NDLS SHATABDI,MATHURA JN,MTJ,61.0,NR,77.67311700000000,27.480145
12001,NDLS SHATABDI,NEW DELHI,NDLS,118.0,NR,77.22000400000000,28.642314
12002,BHOPAL SHTBDI,NEW DELHI,NDLS,1.0,NR,77.22000400000000,28.642314
12002,BHOPAL SHTBDI,MATHURA JN,MTJ,27.0,NR,77.67311700000000,27.480145
12002,BHOPAL SHTBDI,AGRA CANTT,AGC,40.0,NR,77.990153,27.157992
12002,BHOPAL SHTBDI,DHAULPUR,DHO,34.0,NR,77.90604900000000,26.697592
12002,BHOPAL SHTBDI,MORENA,MRA,39.0,NR,78.003442,26.500504
12002,BHOPAL SHTBDI,GWALIOR,GWL,42.0,NR,78.18229200000000,26.216483
12002,BHOPAL SHTBDI,V LAKSHMIBAI JHANSI,VGLJ,39.0,NR,78.5533,25.4439
12002,BHOPAL SHTBDI,LALITPUR,LAR,48.0,NR,78.395791,24.688222
12002,BHOPAL SHTBDI,BINA JN,BINA,40.0,NR,78.1831998,24.1709735
12002,BHOPAL SHTBDI,BHOPAL JN,BPL,44.0,NR,77.4131428577,23.2668843843
12002,BHOPAL SHTBDI,RANI KAMLAPATI,RKMP,33.0,NR,77.4401,23.2216
12003,NDLS SWARNA SHATABDI,LUCKNOW NE,LJN,16.0,NR,80.91858700000000,26.831967
12003,NDLS SWARNA SHATABDI,KANPUR CENTRAL,CNB,21.0,NR,80.350966,26.45424
12003,NDLS SWARNA SHATABDI,PHAPHUND,PHD,33.0,NR,79.5542552124,26.6321183177
12003,NDLS SWARNA SHATABDI,ETAWAH,ETW,41.0,NR,79.021502,26.78597
12003,NDLS SWARNA SHATABDI,TUNDLA JN,TDL,35.0,NR,78.233285,27.207747
12003,NDLS SWARNA SHATABDI,ALIGARH JN,ALJN,37.0,NR,78.074559,27.889584
12003,NDLS SWARNA SHATABDI,GHAZIABAD,GZB,32.0,NR,77.431099,28.649702
12003,NDLS SWARNA SHATABDI,NEW DELHI,NDLS,29.0,NR,77.22000400000000,28.642314
12004,LJN SWARNA SHATABDI,NEW DELHI,NDLS,11.0,NR,77.22000400000000,28.642314
12004,LJN SWARNA SHATABDI,GHAZIABAD,GZB,19.0,NR,77.431099,28.649702
12004,LJN SWARNA SHATABDI,ALIGARH JN,ALJN,35.0,NR,78.074559,27.889584
12004,LJN SWARNA SHATABDI,TUNDLA JN,TDL,31.0,NR,78.233285,27.207747
12004,LJN SWARNA SHATABDI,ETAWAH,ETW,37.0,NR,79.021502,26.78597
12004,LJN SWARNA SHATABDI,PHAPHUND,PHD,40.0,NR,79.5542552124,26.6321183177
