Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
1221,NZM RAJDHANI SPL,,nan,,,,
1222,CSMT RAJDNI SPL,,nan,,,,
2431,TVC NZM RAJ EXP,,nan,,,,
2432,NZM TVC RAJ SPL,,nan,,,,
2454,NDLS RNC SPL,,nan,,,,
12301,KOLKATA RAJDHNI,HOWRAH JN,HWH,1.0,ER,88.34099900000000,22.584078
12301,KOLKATA RAJDHNI,ASANSOL JN,ASN,10.0,ER,86.975152,23.691441
12301,KOLKATA RAJDHNI,DHANBAD JN,DHN,5.0,ER,86.428956,23.790966
12301,KOLKATA RAJDHNI,PARASNATH,PNME,15.0,ER,86.037862,23.987971
12301,KOLKATA RAJDHNI,GAYA JN,GAYA,7.0,ER,84.999294,24.803978
12301,KOLKATA RAJDHNI,PT DEEN DAYAL UPADHYAY JN,DDU,12.0,ER,,
12301,KOLKATA RAJDHNI,PRAYAGRAJ JN,PRYJ,28.0,ER,81.8253,25.4453
12301,KOLKATA RAJDHNI,KANPUR CENTRAL,CNB,38.0,ER,80.350966,26.45424
12301,KOLKATA RAJDHNI,NEW DELHI,NDLS,56.0,ER,77.22000400000000,28.642314
12302,KOLKATA RJDHNI,NEW DELHI,NDLS,35.0,ER,77.22000400000000,28.642314
12302,KOLKATA RJDHNI,KANPUR CENTRAL,CNB,66.0,ER,80.350966,26.45424
12302,KOLKATA RJDHNI,PRAYAGRAJ JN,PRYJ,79.0,ER,81.8253,25.4453
12302,KOLKATA RJDHNI,PT DEEN DAYAL UPADHYAY JN,DDU,91.0,ER,,
12302,KOLKATA RJDHNI,GAYA JN,GAYA,103.0,ER,84.999294,24.803978
12302,KOLKATA RJDHNI,PARASNATH,PNME,113.0,ER,86.037862,23.987971
12302,KOLKATA RJDHNI,DHANBAD JN,DHN,102.0,ER,86.428956,23.790966
12302,KOLKATA RJDHNI,ASANSOL JN,ASN,107.0,ER,86.975152,23.691441
12302,KOLKATA RJDHNI,HOWRAH JN,HWH,105.0,ER,88.34099900000000,22.584078
12305,KOLKATA RJDHNI,HOWRAH JN,HWH,1.0,ER,88.34099900000000,22.584078
12305,KOLKATA RJDHNI,BARDDHAMAN JN,BWN,17.0,ER,87.87028100000000,23.249718
12305,KOLKATA RJDHNI,MADHUPUR JN,MDP,22.0,ER,86.642183,24.270633
12305,KOLKATA RJDHNI,JASIDIH JN,JSME,23.0,ER,86.644255,24.514517
12305,KOLKATA RJDHNI,PATNA JN,PNBE,6.0,ER,85.136824,25.60256
12305,KOLKATA RJDHNI,PT DEEN DAYAL UPADHYAY JN,DDU,12.0,ER,,
12305,KOLKATA RJDHNI,PRAYAGRAJ JN,PRYJ,35.0,ER,81.8253,25.4453
12305,KOLKATA RJDHNI,KANPUR CENTRAL,CNB,53.0,ER,80.350966,26.45424
12305,KOLKATA RJDHNI,NEW DELHI,NDLS,62.0,ER,77.22000400000000,28.642314
12306,KOLKATA RJDHNI,NEW DELHI,NDLS,31.0,ER,77.22000400000000,28.642314
12306,KOLKATA RJDHNI,KANPUR CENTRAL,CNB,91.0,ER,80.350966,26.45424
12306,KOLKATA RJDHNI,PRAYAGRAJ JN,PRYJ,96.0,ER,81.8253,25.4453
12306,KOLKATA RJDHNI,PT DEEN DAYAL UPADHYAY JN,DDU,95.0,ER,,
12306,KOLKATA RJDHNI,PATNA JN,PNBE,92.0,ER,85.136824,25.60256
12306,KOLKATA RJDHNI,JASIDIH JN,JSME,89.0,ER,86.644255,24.514517
12306,KOLKATA RJDHNI,MADHUPUR JN,MDP,92.0,ER,86.642183,24.270633
12306,KOLKATA RJDHNI,BARDDHAMAN JN,BWN,82.0,ER,87.87028100000000,23.249718
12306,KOLKATA RJDHNI,HOWRAH JN,HWH,81.0,ER,88.34099900000000,22.584078
12309,RJPB RAJDHANI,RJNDR NGR BIHAR,RJPB,5.0,ECR,85.162449,25.603351
12309,RJPB RAJDHANI,PATNA JN,PNBE,6.0,ECR,85.136824,25.60256
12309,RJPB RAJDHANI,PT DEEN DAYAL UPADHYAY JN,DDU,11.0,ECR,,
12309,RJPB RAJDHANI,PRAYAGRAJ JN,PRYJ,23.0,ECR,81.8253,25.4453
12309,RJPB RAJDHANI,KANPUR CENTRAL,CNB,35.0,ECR,80.350966,26.45424
12309,RJPB RAJDHANI,NEW DELHI,NDLS,48.0,ECR,77.22000400000000,28.642314
